timestamp,bbox_cx,bbox_cy,frame_cx,frame_cy,error_x,error_y,deadband,in_deadband_x,in_deadband_y,raw_delta_pan,raw_delta_tilt,delta_pan,delta_tilt,pan_angle,tilt_angle
2025-12-17 23:21:50.081,256,239,320.0,240.0,-64.0,-1.0,25,False,True,-1.280,0.020,-1.280,0.000,45.0,45.0
2025-12-17 23:21:50.351,288,239,320.0,240.0,-32.0,-1.0,25,False,True,-0.640,0.020,-0.640,0.000,44.3,45.0
2025-12-17 23:21:50.461,282,239,320.0,240.0,-38.0,-1.0,25,False,True,-0.760,0.020,-0.760,0.000,43.6,45.0
2025-12-17 23:21:50.670,285,239,320.0,240.0,-35.0,-1.0,25,False,True,-0.700,0.020,-0.700,0.000,42.9,45.0
2025-12-17 23:21:51.242,292,239,320.0,240.0,-28.0,-1.0,25,False,True,-0.560,0.020,-0.560,0.000,42.3,45.0
2025-12-17 23:21:51.690,312,239,320.0,240.0,-8.0,-1.0,25,True,True,-0.160,0.020,0.000,0.000,42.3,45.0
2025-12-17 23:21:51.791,305,239,320.0,240.0,-15.0,-1.0,25,True,True,-0.300,0.020,0.000,0.000,42.3,45.0
2025-12-17 23:21:52.292,305,239,320.0,240.0,-15.0,-1.0,25,True,True,-0.300,0.020,0.000,0.000,42.3,45.0
2025-12-17 23:21:52.695,305,239,320.0,240.0,-15.0,-1.0,25,True,True,-0.300,0.020,0.000,0.000,42.3,45.0
2025-12-17 23:21:52.890,302,239,320.0,240.0,-18.0,-1.0,25,True,True,-0.360,0.020,0.000,0.000,42.3,45.0
2025-12-17 23:21:52.991,304,239,320.0,240.0,-16.0,-1.0,25,True,True,-0.320,0.020,0.000,0.000,42.3,45.0
2025-12-17 23:21:53.192,303,240,320.0,240.0,-17.0,0.0,25,True,True,-0.340,-0.000,0.000,0.000,42.3,45.0
2025-12-17 23:21:53.291,309,240,320.0,240.0,-11.0,0.0,25,True,True,-0.220,-0.000,0.000,0.000,42.3,45.0
2025-12-17 23:21:53.991,310,238,320.0,240.0,-10.0,-2.0,25,True,True,-0.200,0.040,0.000,0.000,42.3,45.0
2025-12-17 23:21:56.600,475,239,320.0,240.0,155.0,-1.0,25,False,True,3.100,0.020,3.000,0.000,45.3,45.0
2025-12-17 23:21:56.960,560,239,320.0,240.0,240.0,-1.0,25,False,True,4.800,0.020,3.000,0.000,48.3,45.0
2025-12-17 23:21:57.321,565,240,320.0,240.0,245.0,0.0,25,False,True,4.900,-0.000,3.000,0.000,51.3,45.0
2025-12-17 23:21:57.683,524,239,320.0,240.0,204.0,-1.0,25,False,True,4.080,0.020,3.000,0.000,54.3,45.0
2025-12-17 23:21:58.044,456,240,320.0,240.0,136.0,0.0,25,False,True,2.720,-0.000,2.720,0.000,57.0,45.0
2025-12-17 23:21:59.181,369,217,320.0,240.0,49.0,-23.0,25,False,True,0.980,0.460,0.980,0.000,58.0,45.0
2025-12-17 23:22:00.129,345,226,320.0,240.0,25.0,-14.0,25,True,True,0.500,0.280,0.000,0.000,58.0,45.0
2025-12-17 23:22:00.353,357,227,320.0,240.0,37.0,-13.0,25,False,True,0.740,0.260,0.740,0.000,58.7,45.0
2025-12-17 23:22:00.656,386,216,320.0,240.0,66.0,-24.0,25,False,True,1.320,0.480,1.320,0.000,60.1,45.0
2025-12-17 23:22:01.175,291,56,320.0,240.0,-29.0,-184.0,25,False,False,-0.580,3.680,-0.580,3.000,59.5,48.0
2025-12-17 23:22:01.471,444,216,320.0,240.0,124.0,-24.0,25,False,True,2.480,0.480,2.480,0.000,62.0,48.0
2025-12-17 23:22:01.926,453,228,320.0,240.0,133.0,-12.0,25,False,True,2.660,0.240,2.660,0.000,64.6,48.0
2025-12-17 23:22:02.286,497,242,320.0,240.0,177.0,2.0,25,False,True,3.540,-0.040,3.000,0.000,67.6,48.0
2025-12-17 23:22:02.642,482,239,320.0,240.0,162.0,-1.0,25,False,True,3.240,0.020,3.000,0.000,70.6,48.0
2025-12-17 23:22:02.997,476,239,320.0,240.0,156.0,-1.0,25,False,True,3.120,0.020,3.000,0.000,73.6,48.0
2025-12-17 23:22:03.353,566,237,320.0,240.0,246.0,-3.0,25,False,True,4.920,0.060,3.000,0.000,76.6,48.0
